ASL,Consultorio Familiare,Indirizzo,Telefono
ROMA 1,IMRE (EX EMO),"Viale Angelico, 28 - 00136 Roma",06-68354412
ROMA 1,Monte Mario,"Piazza S. M. della Pietà, 5 - 00135 Roma",06-68352856
ROMA 1,Clauzetto,"Via San Daniele del Friuli, 8 - 00188 Roma",06-68354761
ROMA 1,Cassia,"Via Cassia, 472 - 00189 Roma",06-68354616
ROMA 1,Silveri,"Via Domenico Silveri, 8 - 00168 Roma",06-68356325
ROMA 1,Montespaccato,"Via Cosimo Tornabuoni, 50 - 00166 Roma",06-68356260
ROMA 1,Santa Maria,"Via di S. Giovanni in Laterano, 155 - 00184 Roma",06-77305505
ROMA 1,Primavalle,"Via Ludovico Jacobini, 6 - 00168 Roma",06-68354203
ROMA 1,Tagliamento,"Via Tagliamento, 19 - 00198 Roma",06-77303585
ROMA 1,Frentani,"Via dei Frentani, 6 - 00185 Roma",06-77304160
ROMA 1,Dina Galli,"Via Dina Galli, 3 - 00139 Roma",06-77304611
ROMA 1,Rovani,"Largo Rovani, 5 - 00137 Roma",06-77304805
ROMA 2,Condottieri,"Piazza dei Condottieri, 34 - 00176 Roma",06-51008910
ROMA 2,Spencer,"Via Herbert Spencer, 282 - 00177 Roma",06-51008804
ROMA 2,Monza,"Via Monza, 2 - 00182 Roma",06-51007246
ROMA 2,Iberia,"Via Iberia, 73 - 00183 Roma",06-51008585
ROMA 2,Denina,"Via Carlo Denina, 7 - 00179 Roma",06-51008575
ROMA 2,Sette Chiese,"Largo Sette Chiese, 25 - 00145 Roma",06-51008896
ROMA 2,Via dei Lincei,"Via dei Lincei, 93 - 00147 Roma",06-51008653
ROMA 2,Stame,"Via Nicola Stame, 162 - 00128 Roma",06-51005491
ROMA 2,Silone,"Via Ignazio Silone, 100 - 00143 Roma",06-51004081
ROMA 2,San Benedetto,"Via S. Benedetto del Tronto, 9 - 00100 Roma",06-41436337
ROMA 2,Tor Cervara,"Via Tor Cervara, 307 - 00155 Roma",06-41436234
ROMA 2,Pietralata,Roma,06-41435409
ROMA 2,Manfredonia,"Via Manfredonia, 43 - 00171 Roma",06-41436452
ROMA 2,Resede,"Via delle Resede, 1 - 00171 Roma",06-41436010
ROMA 2,Agudio,"Via T. Agudio, 5 - 00100 Roma",06-41436420
ROMA 2,Canapiglie,Roma,06-41436126
ROMA 2,Rizzieri,"Via Rizzieri, 226 - 00173 Roma",06-41434012
ROMA 2,Cambellotti,"Via Duilio Cambellotti, 7 - 00133 Roma",06-41436134
ROMA 2,Levii,"Via dei Levii, 10 - 00174 Roma",06-41436034
ROMA 2,Stazione di Ciampino,"Via della Stazione di Ciampino, 41 - 00118 Roma",06-41435102
ROMA 3,Ostia,"Lungomare Paolo Toscanelli, 230 - 00121 Ostia",06-56483902
ROMA 4,Cerveteri,"Via Martiri Delle Foibe, 95 - 00052 Cerveteri",06-96669312
ROMA 4,Manziana,"Piazza Vittorio Veneto, 3 - 00066 Manziana",06-99893630
ROMA 4,Anguillara,"Via Marco Polo, snc - 00061 Anguillara Sabazia",06-96669772
ROMA 4,Bracciano,"Largo dell'Ospedale Vecchio, 8 - 00062 Bracciano",06-96669124
ROMA 4,Campagnano,"Via Adriano I, 23 - 00063 Campagnano di Roma",06-96669291
ROMA 4,Formello,"Via Regina Margherita, snc - 00060 Formello",06-96669337
ROMA 4,Fiano Romano,"Via Guido Rossa, 37 - 00065 Fiano Romano",06-96669110
ROMA 4,Morlupo,"Via G. Roncacci, 78 - 00067 Morlupo",06-96669938
ROMA 5,Monterotondo,"Via dell'Aeronautica, 53/b - 00015 Monterotondo",06-90093584
ROMA 5,Fonte Nuova,"Via IV Novembre, 2 - 00013 Fonte Nuova",06-90093586
ROMA 5,Guidonia,"Via dei Castagni, 20/22 - 00012 Guidonia",0774-779735
ROMA 5,Setteville,"Via G. Giusti, 2 - 00012 Setteville",0774-392007
ROMA 5,Palombara Sabina,"Via Roma, 20 - 00018 Palombara Sabina",0774-637462
ROMA 5,Tivoli,"Piazza Massimo, 1 - 00019 Tivoli",0774-704729
ROMA 5,Palestrina,"Via Porta S. Martino, 38 - 00036 Palestrina",06-95322624
ROMA 5,Colleferro,"Via degli Esplosivi, 9 - 00034 Colleferro",06-97097541
ROMA 5,Subiaco,"Largo Mazzini, 1 - 00028 Subiaco",0774-824140
ROMA 6,Albano Laziale,"Via Galleria di Sotto, 6 - 00041 Albano Laziale",06-93273352
ROMA 6,Genzano,"Viale Unione Sovietica, 14 - 00045 Genzano di Roma",06-93273582
ROMA 6,Ariccia,"Via delle Cerquette, 2 - 00072 Ariccia",06-93273432
ROMA 6,Lanuvio,"Piazzale Aldo Moro, 8 - 00075 Lanuvio",06-93273146
ROMA 6,Marino,"Viale XXIV Maggio, 2 - 00047 Marino",06-93273174
ROMA 6,Ciampino,"Via Mario Calò, 5 - 00043 Ciampino",06-93275529
ROMA 6,Frascati,"Via Enrico Fermi, 2 - 00044 Frascati",06-93274128
ROMA 6,Grottaferrata,"Viale San Nilo, 4 - 00046 Grottaferrata",06-93274128
ROMA 6,Rocca Priora,"Via Malpasso d'Acqua, 2 - 00079 Rocca Priora",06-93274569
ROMA 6,Pomezia,"Piazza Aldo Moro, 4 - 00071 Pomezia",06-93275140
ROMA 6,Ardea,"Viale dei Tassi, 14 - 00040 Ardea",06-93276158
ROMA 6,Velletri,"Via San Biagio, 12 - 00049 Velletri",06-93272446
ROMA 6,Anzio,"Via Aldobrandini, snc - 00042 Anzio",06-93276477
ROMA 6,Nettuno,"Piazza San Francesco, 4 - 00048 Nettuno",06-93276546